device_key,device_info,os,browser,screen,is_new_flag
955b8441f6c1,SM-G935F Build/NRD90M,,chrome 63.0 for android,,Found
f6b92a44d666,SM-G935F Build/NRD90M,,chrome 63.0 for android,,Found
5d96ebb2edd0,M4 SS4456 Build/LMY47V,,chrome 62.0 for android,,New
c63bebc15aa4,SLA-L03 Build/HUAWEISLA-L03,,chrome 63.0 for android,,New
d0cfb7ef501c,SM-G935F Build/NRD90M,,chrome 63.0 for android,,Found
e90ea7c970db,LG-D693n Build/LRX22G,,chrome,,New
7d1956605ee1,SM-G920P Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,Found
acaaa94d0de6,SM-G935F Build/NRD90M,,chrome 63.0 for android,,Found
5f891272feaf,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
912ff141320d,Android 4.4.2,,chrome generic,,New
e86793409fbd,SM-G930U Build/NRD90M,,chrome 63.0 for android,,New
be90dd80f9b6,SM-G935F Build/NRD90M,,android webview 4.0,,New
14e2957dd82a,Pixel,Android 7.1.2,chrome 63.0 for android,,New
9fc503d0279b,CAM-L03 Build/HUAWEICAM-L03,,chrome 63.0 for android,,New
037123843407,SM-J327T1 Build/NRD90M,Android 7.0,chrome 63.0 for android,1280x720,New
48cafab6c79d,SM-N900P Build/LRX21V,Android 5.0,chrome 43.0 for android,1920x1080,New
e54124d0e11d,SAMSUNG SM-G930A Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,New
aab125c40459,SM-G570M Build/MMB29K,,chrome 63.0 for android,,New
c574dded4794,LG-H918 Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,Found
a39cf0cf1ca9,R1,Android 6.0,chrome 63.0 for android,1280x720,New
c6c556edb227,LG-K580 Build/MRA58K,,chrome 63.0 for android,,New
0452dabc968c,LG-V700,,chrome 52.0 for android,,New
199515c19bb1,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,Found
87a43d8f0f11,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Found
69ccc581e1d0,SM-G930F Build/NRD90M,,chrome 63.0 for android,,New
192475e7fc01,SM-G935F Build/NRD90M,,chrome 63.0 for android,,New
91a9ed336a4d,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,Found
c5a5bf2b5a92,LG-H918 Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,Found
cb0f05403f1e,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Found
bc001b564b21,LGUS990,Android 4.4.2,chrome 63.0 for android,2560x1440,Found
9df4f77f8139,SAMSUNG-SM-G935A Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
e5069fce589a,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,New
d539cb2df84f,5012G Build/MRA58K,,chrome 62.0 for android,,Found
c9df2bcf42b2,SM-J700M Build/LMY48B,,chrome 62.0 for android,,New
a90f99f411e8,VS987 Build/NRD90U,,chrome 63.0 for android,,Found
5666363d0350,Intel,Mac,safari,2880x1800,New
c9b7ee0c2240,SM-N920V Build/NRD90M,Android 7.0,chrome 63.0 for android,,Found
e482462a8943,iOS Device,iOS 11.2.1,mobile safari 11.0,1334x750,New
88953cac9435,SM-G610M Build/MMB29K,,chrome 63.0 for android,,New
6edd3ab769d4,SM-P350 Build/MMB29M,,chrome 63.0 for android,,New
cb5a5a2cd0b9,HTC6545LVW,Android 7.0,chrome 63.0 for android,2560x1440,Unknown
ec392329eed6,LGMS550 Build/NRD90U,Android 7.0,chrome 63.0 for android,1280x720,Found
ff8befe11d58,Trident/7.0,Windows 7,ie 11.0 for desktop,1920x1080,New
444fbab45436,SM-G928V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
2241faec290d,SAMSUNG-SM-J320A Build/NMF26X,Android 7.1.1,chrome 63.0 for android,1280x720,New
857e0b6d5b4b,iOS Device,iOS 11.2.1,mobile safari 11.0,1334x750,New
7cf6c9cba05c,LG-K550,Android 6.0.1,chrome 62.0 for android,1280x720,New
2fd6c361bf4d,LG-H871,Android 7.0,chrome 63.0 for android,2672x1440,New
e6048ea4336e,XT1021 Build/KXC21.5-40,,chrome 62.0 for android,,New
2f6e840befc7,iOS Device,iOS 11.2.1,mobile safari 11.0,2208x1242,New
9efe0e25b4ae,LG-D680,,chrome 62.0 for android,,Found
3154f7778fdf,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
3922cb8e20a6,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
5eb3e369a3c6,SM-T530NU Build/LRX22G,Android 5.0.2,chrome 63.0 for android,1280x800,New
969abb906317,SAMSUNG SM-J710MN Build/MMB29K,,samsung browser 6.2,,New
51ba0fb47d72,iOS Device,iOS 11.0.3,mobile safari 11.0,2208x1242,New
7d2557ba97a8,LG-M250 Build/NRD90U,,other,,New
ffa5002fc8dc,SAMSUNG SM-G935A Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,Found
227adc2c47d6,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,,New
b3b71b38416d,iOS Device,iOS 11.2.1,mobile safari 11.0,1334x750,New
130aa2af0175,Pixel,Android 7.1.2,chrome 63.0 for android,,New
5df097f9e13e,LG-D693n,,chrome 62.0 for android,,New
6766fb9d7252,SM-N950U Build/NMF26X,Android 7.1.1,chrome 63.0 for android,,New
459ea933c9c5,Windows,Windows 10,chrome 63.0,1366x768,New
130e69f9d628,LG-D850,,chrome 58.0 for android,,New
fcd31ee058ec,iOS Device,iOS 11.1.1,mobile safari generic,2208x1242,Found
7b976c7ff66f,Ilium X510 Build/MRA58K,,chrome 63.0 for android,,New
731897d664fe,iOS Device,iOS 11.2.1,mobile safari 11.0,2208x1242,New
8516f73e43a5,iOS Device,iOS 11.1.1,mobile safari generic,2208x1242,Found
bdc4a43581ee,Z982 Build/NMF26V,Android 7.1.1,chrome 63.0 for android,1920x1080,New
b2f9fcc80715,QTAQZ3 Build/KOT49H,Android 4.4.2,chrome 56.0 for android,,Found
4e328b860a9b,SM-G900V Build/MMB29M,Android 6.0.1,chrome 63.0 for android,1920x1080,New
120f4e796e9c,,Linux,chrome 63.0,1920x1080,Found
805591f99079,SAMSUNG-SM-G930A Build/NRD90M,Android 7.0,chrome 63.0 for android,,Found
125b68059184,SM-J500M Build/MMB29M,,chrome 50.0 for android,,Found
dbd89f25111a,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,New
74aa94a19bcf,SM-G935V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
9e9db47bb50b,SAMSUNG SM-G935T Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,New
144cd6463e76,iOS Device,iOS 11.0.3,mobile safari 11.0,2208x1242,New
a812c3073af6,LG-TP260 Build/NRD90U,Android 7.0,chrome 63.0 for android,1280x720,New
534e664f072e,Hisense U963 Build/MRA58K,,chrome 63.0 for android,,New
7ac54f82fd32,SM-G928V Build/NRD90M,Android 7.0,chrome 63.0 for android,,New
0e132e8d4467,SM-G950U1 Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Unknown
d8616c52b710,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
810035c357c5,6045I Build/LRX22G,,chrome 58.0 for android,,Found
362ebb54e309,LG-TP260 Build/NRD90U,Android 7.0,chrome 63.0 for android,1280x720,Found
dbd7ede2dda2,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
7c4ce14f8e0e,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,New
93c43a59f4f1,SM-J500M Build/MMB29M,,chrome 50.0 for android,,Found
d547954072d5,SM-J500M Build/MMB29M,,chrome 50.0 for android,,Found
5f38458d40a8,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,,Found
1e85ba0c053a,KFSOWI,Android,chrome generic,1281x801,New
ca969016f1ba,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,Found
7cebfc2bce46,SM-A710M Build/LMY47X,,chrome 63.0 for android,,New
793347346b6c,SAMSUNG,Android 7.0,samsung browser 6.2,1920x1080,New
a3390f8ade13,SM-G950U1 Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Unknown
9cc891480762,SM-G950U1 Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Unknown
e588ae216913,SM-G531H Build/LMY48B,,chrome 63.0 for android,,Found
e8fa1dd76c65,iOS Device,iOS 11.2.1,mobile safari 11.0,2436x1125,Unknown
c67392db23ae,Lenovo A2016b30 Build/MRA58K,,chrome 50.0 for android,,New
b1f1e7c40ab4,Moto Z2 Play Build/NPSS26.118-19-11,,chrome 63.0 for android,,Found
40b8a3a049ce,Lenovo A2016b30 Build/MRA58K,,chrome 50.0 for android,,Found
f24314c46e9f,BLA-L29 Build/HUAWEIBLA-L29,,chrome 63.0 for android,,Found
d4b190eb6d16,SM-J320M Build/LMY47V,,chrome 63.0 for android,,New
41a621f4693b,Lenovo A2016b30 Build/MRA58K,,chrome 50.0 for android,,Found
5a4e0187bcc0,SM-J700M Build/MMB29K,,chrome 63.0 for android,,Found
1d3368b985a6,LG-K410 Build/LRX22G,,chrome 61.0 for android,,New
914d4c91eee0,LG-H870 Build/NRD90U,,chrome 62.0 for android,,Found
aea271325240,Moto Z2 Play Build/NPSS26.118-19-11,,chrome 63.0 for android,,Found
893563180c34,Moto Z2 Play Build/NPSS26.118-19-11,,chrome 63.0 for android,,Found
575af3ce8bc3,CAM-L03 Build/HUAWEICAM-L03,,chrome 63.0 for android,,New
85ce13ecae00,iOS Device,iOS 11.2.1,mobile safari 11.0,1136x640,New
096073c2a325,LG-K220 Build/MXB48T,,chrome 63.0 for android,,New
cb65be7100f8,LG-K530 Build/MMB29M,,chrome 62.0 for android,,Found
efc14bbce901,SM-N950U Build/NMF26X,Android 7.1.1,chrome 63.0 for android,,New
ee560332eee2,XT1032 Build/LPBS23.13-56-2,,chrome 62.0 for android,,New
5abb5093e0c1,SM-G935T Build/NRD90M,Android 7.0,chrome 63.0 for android,,New
0490716b2b71,iOS Device,iOS 11.2.1,mobile safari 11.0,2208x1242,New
19dac0b42175,Moto G (5) Plus Build/NPN25.137-72,,chrome generic,,Found
af6b1f84aa54,SAMSUNG SM-G920P Build/NRD90M,Android 7.0,other,2560x1440,New
47e76fd0ccd2,iOS Device,iOS 11.2.1,mobile safari 11.0,2001x1125,New
723839655cb9,MotoG3 Build/MPIS24.65-33.1-2-16,,chrome 63.0 for android,,New
81cb3c1409c0,SM-J700M Build/MMB29K,,chrome 57.0 for android,,New
7abe501bd365,Moto Z2 Play Build/NPSS26.118-19-6,,chrome 63.0 for android,,New
6e56e0f6e050,SAMSUNG SM-G532M Build/MMB29T,,samsung browser 5.4,,New
50569a21b1be,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,New
5d1b0456f663,MacOS,Mac OS X 10_10_5,chrome 63.0,2880x1800,Found
a47f6ec110fc,Windows,Windows 10,chrome 63.0,2160x1440,Found
72f53bf57f94,SM-G920I Build/NRD90M,,chrome 63.0 for android,,New
14a3918a604b,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,New
1919978a2c94,SGH-I337M Build/LRX22C,,chrome 63.0 for android,,New
3fc7a8674a95,SM-G570M Build/MMB29K,,chrome 63.0 for android,,New
51aaeabc7ead,2PYB2,Android 7.0,chrome 63.0 for android,2560x1440,Found
35973214ee61,SM-G930T Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
c621599fb398,F3213 Build/36.1.A.1.86,,chrome 63.0 for android,,New
fa168c8ec816,XT1080 Build/SU6-7.7,Android,chrome 59.0 for android,1280x720,New
8e4fe8637417,F3213 Build/36.1.A.1.86,,chrome 63.0 for android,,Found
eaf8dc3f0eb9,SGH-I337M Build/LRX22C,,chrome 63.0 for android,,Found
7aa0cdc62e8c,SM-G930T Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
215ec484a51f,SM-G935V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
e8dbcfde7d78,XT1575 Build/NPHS25.200-23-1,Android 7.0,chrome 63.0 for android,2562x1442,Unknown
51ad738b8fb0,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,,Found
c026298e9b83,LG-D693n Build/LRX22G,,chrome 63.0 for android,,New
5c3367358d0d,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
81aaaab23798,SM-T810 Build/NRD90M,Android 7.0,chrome 63.0 for android,2048x1536,Found
3766bbd977e5,LG-H870 Build/NRD90U,,chrome 61.0 for android,,Found
03634ce36e75,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,,New
91f04fba9d22,SAMSUNG SM-G891A Build/NRD90M,Android 7.0,samsung browser 6.2,1281x721,Found
3f7708fb7bb4,SAMSUNG SM-G920A Build/NRD90M,,samsung browser 6.2,,Found
02e62c85f7cd,SM-A720F Build/NRD90M,,chrome 63.0 for android,,New
9c36891c242f,SM-A720F Build/NRD90M,,chrome 63.0 for android,,Found
67ea731dbbca,LG-V495,Android 6.0,chrome 63.0 for android,,New
4fa9df7dc187,SM-A720F Build/NRD90M,,chrome 63.0 for android,,Found
c00b202884ce,PRA-LX3 Build/HUAWEIPRA-LX3,,chrome 63.0 for android,,New
a83259d1b38d,iOS Device,iOS 11.2.0,mobile safari 11.0,2208x1242,New
2632c1790868,SM-G950F Build/NRD90M,,chrome 63.0 for android,,New
b408d16abdd3,CAM-L03 Build/HUAWEICAM-L03,,chrome 63.0 for android,,Found
ee4110ea61ac,CAM-L03 Build/HUAWEICAM-L03,,chrome 63.0 for android,,Found
a0d8be382f13,LG-K530 Build/NRD90U,,chrome 53.0 for android,,New
1a9f54f01b36,LG-TP450 Build/NRD90U,,chrome 63.0 for android,,Found
53beaa39f299,M4,,chrome 63.0 for android,,New
80a21687f205,SM-G930V Build/MMB29M,Android 6.0.1,chrome 63.0 for android,2560x1440,New
ee48eb96ef2c,Ilium L910 Build/MRA58K,,chrome 63.0 for android,,New
0357de17f9e1,SM-G935F Build/NRD90M,,chrome 63.0 for android,,New
f07ca6504163,Moto G (4) Build/NPJS25.93-14-10,,chrome generic,,Found
dae55c3f955b,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,Found
9f5fed976842,SM-N920V Build/NRD90M,Android 7.0,chrome 61.0 for android,,New
92678229151c,LG-TP450 Build/NRD90U,,chrome 63.0 for android,,Found
923b9a792196,SM-G950F Build/NRD90M,,chrome 61.0 for android,,Found
35288f115f5b,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,Found
5f67a7a9085f,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
4eb7dcb0f6f5,HUAWEI NXT-L09 Build/HUAWEINXT-L09,,chrome 63.0 for android,,Found
e8e24d0669ef,SM-N950U Build/NMF26X,Android 7.1.1,chrome 63.0 for android,,Found
970254d28fed,G3223 Build/42.0.A.4.101,,chrome 63.0 for android,,New
2cbb3ebddd50,HUAWEI NXT-L09 Build/HUAWEINXT-L09,,chrome 63.0 for android,,Found
db52c2a343d5,SAMSUNG SM-J530F Build/NRD90M,,samsung browser 6.2,,New
e58f68f31ac2,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Found
45b7b14275ef,C6743 Build/LMY47V,Android 5.1.1,android browser 4.0,960x540,Found
c098cbaf5d45,SAMSUNG SM-N910A Build/MMB29M,Android 6.0.1,samsung browser 6.2,2560x1440,New
89874cf7fc1a,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
3019832d0e7d,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
5063132f3614,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
a13fc733d4f5,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
a86854f4a3d9,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
dc2cbc49bd8d,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,,Found
64b13099073a,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,,Found
7e28f518bb0a,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
ffaa2f58e671,SAMSUNG SM-G928G Build/NRD90M,,samsung browser 6.2,,Found
0d0c3aae3b6b,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,New
eb674825106c,BOIE9,,ie 11.0 for desktop,,New
f448f9301f71,VS988 Build/NRD90U,Android 7.0,chrome 63.0 for android,2672x1440,New
989b5bfb697c,Windows NT 6.1,Windows 7,ie 11.0 for desktop,1371x857,New
9e71d81b5efe,SM-A300H Build/LRX22G,,chrome 63.0 for android,,New
ff2958e47fce,Blade V6 Plus Build/MRA58K,,chrome 63.0 for android,,Found
544229d1d535,SAMSUNG SM-G550T1 Build/MMB29K,Android 6.0.1,samsung browser 6.2,1280x720,Found
b51152b8b344,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,Found
572640a1b9ba,SM-G610M Build/MMB29K,,chrome 61.0 for android,,Found
23b34c75f2a9,Moto G (5) Plus Build/NPNS25.137-15-11,,chrome generic,,Found
14ccf5f73eef,VS996,,chrome 63.0 for android,,Found
46eebfabc0ec,SM-J700M Build/MMB29K,,chrome 63.0 for android,,New
da7e1de142ec,TA-1025,,chrome 63.0 for android,,New
9b6c53d77c47,Windows,Windows 8.1,chrome 63.0,1366x768,Found
7849a2627119,LG-V495,Android 6.0,chrome 63.0 for android,,Found
affb08e948eb,SM-T377V Build/NMF26X,Android 7.1.1,chrome 63.0 for android,,Unknown
0d4c1932b6f2,HUAWEI G7-L03 Build/HuaweiG7-L03,,chrome 63.0 for android,,New
a49056e39671,XT1053 Build/LPAS23.12-21.7-1,,chrome,,New
a1ee2fe67d3d,SM-T377V Build/NMF26X,Android 7.1.1,chrome 63.0 for android,,Unknown
e5cfb8a0ec37,SM-N950F Build/NMF26X,,chrome 63.0 for android,,New
32a50bb38625,SM-T377V Build/NMF26X,Android 7.1.1,chrome 63.0 for android,,Unknown
a5add3f16251,Moto G (4) Build/NPJ25.93-14.5,,chrome generic,,New
033cf98ae696,SM-S902L,Android 4.4.2,chrome 63.0 for android,1920x1080,Found
e7104380abce,ILIUM,,chrome 63.0 for android,,Found
4947e167f60d,VS985,Android 6.0,chrome 55.0 for android,2560x1440,New
b9e54a39dc29,ILIUM,,chrome 63.0 for android,,New
3804135694ac,SM-G532M Build/MMB29T,,Samsung/SM-G532M,,New
68cd5e624bf6,SAMSUNG-SM-G930A Build/NRD90M,Android 7.0,chrome 63.0 for android,,Found
d78e06417567,LG-V495,Android 6.0,chrome 63.0 for android,,Found
376dcabfd18e,SM-G610M Build/MMB29K,,other,,Found
9cb649bf6ddf,SM-G925I Build/NRD90M,,chrome 63.0 for android,,Found
37b3cf036e46,SM-G925I Build/NRD90M,,chrome 63.0 for android,,Found
ba3861a1a1ea,SAMSUNG SM-G930F Build/NRD90M,,samsung browser 6.2,,Found
53eb391b23b5,HTC Desire 530 Build/MMB29M,,chrome 63.0 for android,,New
56ea3afa60f2,SM-G935F Build/NRD90M,,chrome 63.0 for android,,New
6a6d14f6e83f,5015A Build/LMY47I,,chrome 63.0 for android,,New
f13c9c8d427a,KFTHWI Build/KTU84M,Android,chrome generic,1920x1200,Found
a0585782ec1a,SAMSUNG-SM-G925A Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,New
1594aabe2603,Nexus,Android 8.0.0,,,New
d7c02361a8a8,SM-T713 Build/NRD90M,Android 7.0,chrome 62.0 for android,2048x1536,Unknown
67c885f61f7a,,Android,chrome 63.0,1280x720,Found
46827539c57d,SM-G530H Build/LRX22G,,chrome 63.0 for android,,New
a354a1b68686,HTC6535LVW,Android 7.0,chrome 63.0 for android,1920x1080,New
44fe799b1e4f,Moto X Play Build/NPD26.48-24-1,,chrome 63.0 for android,,New
30033eb10851,SAMSUNG SM-J510MN Build/MMB29M,,samsung browser 6.2,,Found
7288cd3c61f2,,Android,chrome 63.0,1280x720,Found
a3b0e0e86c0a,SM-T110 Build/JDQ39,Android,chrome 63.0 for android,1024x600,Found
975a59f49ef5,XT1563 Build/MPDS24.107-52-5,,chrome 63.0 for android,,New
cf9e4a8b76da,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,New
9064c253dfce,SM-G935T Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,New
f1430e47dd16,SM-G532M Build/MMB29T,,chrome 58.0 for android,,Found
cb4542f6072e,SM-T280 Build/LMY47V,Android 5.1.1,chrome 63.0 for android,,Found
b608df32ec93,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,,Found
c7da11cefde4,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Found
cc822836085f,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,New
b78a63482f23,6039A Build/LRX22G,,chrome 63.0 for android,,New
39061761f887,A0001 Build/MHC19Q,Android 6.0.1,chrome 62.0 for android,1920x1080,New
9aed705bbe7d,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Found
a72c6f1cec12,SM-G920V Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,New
38729193b754,SM-G930T Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
ac6f5783adc6,SM-G930T Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
3169ac3416b5,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,,Found
8117495cc325,Touch,,ie 11.0 for desktop,,Found
eec4fba0ffad,iOS Device,iOS 11.2.1,mobile safari 11.0,1334x750,New
49edebf560d2,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,2960x1440,Found
a1fb14681fa0,SM-G955U Build/NRD90M,,chrome 63.0 for android,,New
da62adf437d9,Windows,Windows 7,chrome 63.0,1920x1200,Found
0f73b0558b98,SM-J727T Build/NRD90M,Android 7.0,chrome 63.0 for android,1280x720,Found
af7ddf44ed05,SM-G935T Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,New
96cd24e27dc4,Z410,,chrome 61.0 for android,,New
13d110a338f8,iOS Device,iOS 11.2.1,mobile safari 11.0,2436x1125,New
d1321b292ea9,iOS Device,iOS 11.2.0,mobile safari 11.0,1136x640,New
d9949cafa80a,iOS Device,iOS 11.2.1,mobile safari 11.0,1334x750,New
e6688215b562,Moto E (4) Build/NMA26.42-69,,chrome generic,,New
dde6922cfefa,F3113 Build/33.3.A.1.97,,chrome 63.0 for android,,Found
b2265e6fb7a9,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
cd95857f929c,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,,New
75558251d58b,iOS Device,iOS 11.2.1,mobile safari 11.0,1334x750,New
167891a659b2,VS996,Android 7.1.2,chrome 63.0 for android,2880x1440,Found
524816913694,SAMSUNG SM-J320M Build/LMY47V,,chrome generic,,New
980491fd841a,Windows,Windows 10,chrome 63.0,1280x800,Found
069a89591024,SAMSUNG-SM-G920A Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,New
4a3d1cc77689,SM-G531H Build/LMY48B,,chrome 63.0 for android,,New
49175c4bd647,SM-G930V Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
e292edb4991b,VS995 Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,New
474a197cbd65,ALE-L23 Build/HuaweiALE-L23,,chrome 63.0 for android,,New
2f11dc570aea,SM-G900R4,Android 6.0.1,chrome 63.0 for android,1920x1080,New
26c68eabe10b,HUAWEI NXT-L09 Build/HUAWEINXT-L09,,chrome 62.0 for android,,Found
404b1b11f260,iOS Device,iOS 11.2.1,mobile safari 11.0,2208x1242,New
1d211b337634,Trident/7.0,Windows 10,ie 11.0 for desktop,,Found
ec73bd56603f,Ilium X510 Build/MRA58K,,chrome 49.0 for android,,New
897b318932e2,XT1650 Build/NCLS26.118-23-13-3,Android 7.1.1,chrome 63.0 for android,2560x1440,Found
bf098365dbdf,SM-J700M Build/MMB29K,,chrome 63.0 for android,,New
891099c8972d,SPH-L720,Android,chrome 62.0 for android,1920x1080,New
aaf62cbd7da1,SM-N920G Build/NRD90M,,chrome 63.0 for android,,New
66069e2feee2,SAMSUNG SM-N950U Build/NMF26X,Android 7.1.1,samsung browser 6.2,,Found
1a5d198d7ed6,SAMSUNG SM-J700M Build/LMY48B,,chrome generic,,New
6d9484cb17ed,SM-T827V Build/NRD90M,Android 7.0,chrome 61.0 for android,2048x1536,New
ab11e6f58943,LG-M700 Build/NMF26X,,chrome 63.0 for android,,New
a526b111226c,SM-G930T Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
54915e276e2f,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,New
2f3eaaa7c5e9,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,,Found
c807a8302d0d,SM-G928P,Android 5.1.1,chrome 62.0 for android,2562x1442,Unknown
938aa3a323c9,iOS Device,iOS 11.2.0,mobile safari 11.0,1334x750,New
146b97cdac73,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,,Found
f6e6c3a93332,SAMSUNG SM-J700M Build/MMB29K,,samsung browser 6.2,,Found
d2ec78df5c67,SM-G925V Build/NRD90M,Android 7.0,chrome 61.0 for android,2560x1440,Found
461c47171a5c,SM-G930P Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
a54daac2cc8c,LG-H820 Build/NRD90U,,chrome 63.0 for android,,New
ec75c55a5bd4,SM-G930T Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
d9abe11c905a,Blade V6 Plus Build/MRA58K,,chrome 63.0 for android,,New
d4f9f25305d4,SM-A310M Build/LMY47X,,chrome 63.0 for android,,New
6a5252bd8f41,SM-G930T Build/NRD90M,Android 7.0,chrome 63.0 for android,1920x1080,Found
df66b05f5456,SM-G925V Build/NRD90M,Android 7.0,chrome 61.0 for android,2560x1440,Found
f2cafe22d169,SM-G925V Build/NRD90M,Android 7.0,chrome 61.0 for android,2560x1440,New
88894918415f,Moto G (5S,Android 7.1.1,chrome generic,1920x1080,New
fb7680daa623,SAMSUNG SM-G891A Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,Found
0dbeab11507d,SM-J200M Build/LMY47X,,chrome 43.0 for android,,New
bc46c5749582,SM-G925V Build/NRD90M,Android 7.0,chrome 61.0 for android,2560x1440,Found
467269ad001a,iOS Device,iOS 11.2.1,mobile safari 11.0,2001x1125,New
cd830e3351e4,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2220x1080,Found
6fb8cf3db805,C6906 Build/14.6.A.1.236,,chrome 63.0 for android,,New
1b587d1258bf,831C,Android 6.0,chrome 63.0 for android,1920x1080,New
3acdbc6a8179,LG-H830,Android 6.0.1,chrome 63.0 for android,2560x1440,Found
5ea0ddbd59a7,,Android,chrome 63.0,1280x720,Found
d79c5756e00c,SM-G925V Build/NRD90M,Android 7.0,chrome 61.0 for android,2560x1440,Found
29c43d632eaa,F3113 Build/33.3.A.1.97,,chrome 63.0 for android,,New
52fb015570f3,iOS Device,iOS 11.1.2,mobile safari 11.0,2436x1125,New
a944d6692f9a,LG-K500 Build/MMB29M,,chrome 63.0 for android,,New
76cd2c0a1f74,SM-G935V Build/NRD90M,Android 7.0,chrome 63.0 for android,1280x720,New
