card_id,card_network,card_type
C04306-K1,visa,debit
C13402-K1,visa,debit
C00545-K1,mastercard,debit
C03264-K1,visa,credit
C06276-K1,american express,credit
C04150-K1,american express,credit
C05470-K1,visa,credit
C05470-K2,visa,credit
C06360-K1,mastercard,debit
C11378-K1,mastercard,debit
C01983-K1,visa,credit
C08834-K1,visa,debit
C07612-K1,visa,credit
C07612-K2,visa,debit
C07743-K1,visa,debit
C07743-K2,,
C12265-K1,visa,debit
C12265-K2,,
C11091-K1,visa,debit
C01533-K1,visa,debit
C08995-K1,mastercard,debit
C12372-K1,visa,debit
C11807-K1,mastercard,credit
C10601-K1,mastercard,credit
C06464-K1,mastercard,credit
C11062-K1,mastercard,debit
C01323-K1,visa,credit
C11638-K1,visa,debit
C11916-K1,visa,debit
C06874-K1,american express,credit
C12975-K1,visa,debit
C12975-K2,,
C06026-K1,visa,credit
C06026-K2,,
C03318-K1,visa,debit
C11095-K1,mastercard,credit
C01407-K1,visa,debit
C07558-K1,visa,debit
C07558-K2,,
C01058-K1,visa,debit
C11823-K1,visa,credit
C11823-K2,visa,credit
C00973-K1,visa,credit
C09467-K1,visa,debit
C05718-K1,mastercard,debit
C12040-K1,visa,debit
C09916-K1,visa,debit
C03955-K1,visa,debit
C10577-K1,american express,credit
C09387-K1,american express,credit
C05735-K1,visa,debit
C08895-K1,visa,debit
C04770-K1,visa,credit
C00547-K1,visa,debit
C02008-K1,visa,debit
C11164-K1,american express,credit
C10826-K1,mastercard,credit
C10826-K2,mastercard,credit
C00601-K1,visa,debit
C09061-K1,mastercard,debit
C05215-K1,mastercard,debit
C10899-K1,visa,debit
C00542-K1,visa,credit
C10837-K1,visa,credit
C10837-K2,visa,credit
C10837-K3,,
C03634-K1,visa,credit
C03634-K2,visa,credit
C07766-K1,visa,debit
C01673-K1,mastercard,debit
C01673-K2,mastercard,debit
C08507-K1,visa,debit
C11853-K1,mastercard,credit
C11674-K1,mastercard,debit
C03676-K1,visa,debit
C03676-K2,,
C12622-K1,visa,debit
C07981-K1,visa,credit
C07981-K2,visa,credit
C02982-K1,mastercard,debit
C10559-K1,visa,debit
C11516-K1,visa,debit
C03611-K1,mastercard,debit
C03611-K2,,
C03594-K1,mastercard,debit
C03595-K1,mastercard,debit
C06650-K1,visa,debit
C06650-K2,,
C02887-K1,visa,debit
C00510-K1,mastercard,credit
C08445-K1,visa,credit
C00925-K1,mastercard,debit
C01116-K1,visa,debit
C01116-K2,,
C08741-K1,visa,debit
C00037-K1,visa,debit
C08866-K1,american express,credit
C06604-K1,mastercard,credit
C01615-K1,visa,debit
C05108-K1,visa,debit
C10350-K1,visa,debit
C07437-K1,visa,debit
C09549-K1,mastercard,debit
C04244-K1,visa,debit
C09458-K1,american express,credit
C02050-K1,visa,debit
C11186-K1,visa,credit
C09049-K1,visa,debit
C07614-K1,visa,debit
C07614-K2,,
C01326-K1,visa,debit
C01326-K2,,
C12011-K1,visa,debit
C10327-K1,visa,debit
C08012-K1,mastercard,credit
C06024-K1,visa,debit
C02903-K1,mastercard,debit
C10932-K1,visa,debit
C00556-K1,mastercard,debit
C07745-K1,visa,debit
C02753-K1,visa,credit
C08807-K1,visa,credit
C11238-K1,mastercard,debit
C04705-K1,mastercard,debit
C10044-K1,visa,debit
C13044-K1,visa,debit
C11944-K1,visa,debit
C06068-K1,visa,debit
C02006-K1,mastercard,debit
C11265-K1,visa,debit
C06358-K1,mastercard,debit
C06358-K2,mastercard,debit
C06995-K1,american express,credit
C04046-K1,visa,debit
C04046-K2,,
C10737-K1,visa,debit
C00961-K1,visa,debit
C00967-K1,american express,credit
C01840-K1,visa,debit
C00810-K1,mastercard,debit
C02458-K1,mastercard,debit
C04671-K1,visa,debit
C07969-K1,american express,credit
C11730-K1,mastercard,debit
C08623-K1,mastercard,credit
C08623-K2,,
C00806-K1,visa,debit
C12513-K1,mastercard,debit
C12513-K2,mastercard,debit
C05553-K1,visa,debit
C11759-K1,visa,debit
C03331-K1,visa,debit
C03331-K2,,
C05833-K1,visa,debit
C12382-K1,visa,debit
C12910-K1,visa,debit
C05435-K1,mastercard,debit
C05435-K2,mastercard,debit
C04928-K1,american express,credit
C06429-K1,visa,credit
C11247-K1,mastercard,debit
C04732-K1,mastercard,debit
C04732-K2,mastercard,debit
C11536-K1,visa,credit
C12403-K1,visa,debit
C12408-K1,visa,debit
C03893-K1,mastercard,debit
C13269-K1,visa,debit
C13269-K2,,
C01145-K1,mastercard,credit
C11714-K1,mastercard,debit
C00241-K1,visa,debit
C01571-K1,mastercard,debit
C10986-K1,visa,debit
C10986-K2,,
C12641-K1,visa,debit
C12641-K2,,
C05905-K1,visa,credit
C03531-K1,visa,credit
C02842-K1,visa,debit
C03005-K1,visa,debit
C03324-K1,visa,credit
C01846-K1,visa,credit
C13332-K1,visa,credit
C05378-K1,mastercard,debit
C05378-K2,,
C07086-K1,visa,debit
C00909-K1,mastercard,debit
C08746-K1,mastercard,credit
C08746-K2,mastercard,credit
C10399-K1,visa,debit
C00871-K1,visa,credit
C03283-K1,visa,debit
C08476-K1,mastercard,debit
C07864-K1,mastercard,debit
C07278-K1,mastercard,credit
C02830-K1,american express,credit
C01056-K1,visa,credit
C08333-K1,visa,debit
C01370-K1,mastercard,debit
C09965-K1,visa,credit
C06919-K1,american express,credit
C08587-K1,mastercard,credit
C02848-K1,american express,credit
C09975-K1,mastercard,debit
C09975-K2,mastercard,credit
C07160-K1,american express,credit
C06303-K1,visa,debit
C09084-K1,visa,debit
C02388-K1,visa,debit
C09676-K1,visa,debit
C06409-K1,visa,credit
C08451-K1,visa,debit
C08451-K2,,
C10162-K1,visa,debit
C05949-K1,visa,debit
C00162-K1,visa,debit
C12748-K1,mastercard,debit
C12748-K2,,
C01467-K1,mastercard,debit
C03285-K1,visa,debit
C03285-K2,,
C04604-K1,visa,debit
C03992-K1,visa,credit
C03992-K2,,
C12192-K1,visa,credit
C03498-K1,visa,debit
C09329-K1,mastercard,debit
C06088-K1,visa,debit
C11172-K1,visa,debit
C06139-K1,visa,debit
C06139-K2,,
C10962-K1,visa,debit
C01258-K1,mastercard,debit
C06274-K1,visa,debit
C12349-K1,visa,debit
C10422-K1,mastercard,debit
C10422-K2,,
C13103-K1,mastercard,debit
C10626-K1,mastercard,debit
C08223-K1,visa,credit
C10611-K1,visa,credit
C10611-K2,,
C07062-K1,visa,debit
C04205-K1,visa,debit
C08984-K1,visa,credit
C03902-K1,visa,debit
C11691-K1,visa,debit
C02483-K1,american express,credit
C08712-K1,mastercard,debit
C01627-K1,mastercard,credit
C03639-K1,visa,debit
C03639-K2,,
C00361-K1,visa,credit
C03095-K1,mastercard,credit
C03095-K2,,
C11029-K1,visa,debit
C04117-K1,mastercard,debit
C04117-K2,,
C04068-K1,visa,debit
C01053-K1,visa,debit
C07416-K1,mastercard,debit
C07416-K2,mastercard,debit
C07424-K1,american express,credit
C05986-K1,mastercard,debit
C05986-K2,mastercard,debit
C05986-K3,,
C08197-K1,visa,debit
C09344-K1,visa,debit
C02910-K1,mastercard,debit
C03305-K1,american express,credit
C02352-K1,visa,debit
C00173-K1,visa,debit
C09839-K1,visa,credit
C01789-K1,mastercard,debit
C05309-K1,visa,credit
C05309-K2,visa,credit
C05415-K1,visa,debit
C01340-K1,mastercard,debit
C03362-K1,visa,debit
C07445-K1,visa,debit
C10843-K1,mastercard,debit
C00995-K1,visa,debit
C12167-K1,visa,credit
C01259-K1,mastercard,debit
C01259-K2,mastercard,debit
C08540-K1,visa,debit
C05096-K1,visa,debit
C05629-K1,visa,credit
C09717-K1,visa,debit
C07232-K1,visa,debit
C06499-K1,visa,debit
C05634-K1,mastercard,debit
C09120-K1,visa,credit
C05292-K1,visa,credit
C05402-K1,mastercard,debit
C05402-K2,mastercard,debit
C09296-K1,visa,credit
C12356-K1,mastercard,credit
C12356-K2,,
C06340-K1,visa,debit
C11413-K1,mastercard,credit
C09000-K1,visa,debit
C05079-K1,mastercard,debit
C05079-K2,,
C10529-K1,visa,debit
C05981-K1,visa,debit
C05981-K2,visa,credit
C11504-K1,mastercard,debit
C11504-K2,mastercard,debit
C08922-K1,visa,credit
C11931-K1,mastercard,debit
C04024-K1,visa,credit
C04024-K2,,
C00754-K1,mastercard,credit
C00754-K2,,
C11035-K1,visa,debit
C07872-K1,mastercard,debit
C07872-K2,,
C03344-K1,mastercard,debit
C03344-K2,mastercard,debit
C08347-K1,american express,credit
C10157-K1,visa,debit
C02487-K1,visa,debit
C04473-K1,mastercard,debit
C11194-K1,visa,debit
C11194-K2,,
C02336-K1,visa,debit
C04932-K1,visa,debit
C03589-K1,visa,debit
C03589-K2,,
C09988-K1,visa,debit
C04348-K1,mastercard,credit
C07586-K1,visa,debit
C09954-K1,mastercard,debit
C09810-K1,visa,debit
C07172-K1,visa,debit
C06908-K1,visa,debit
C13206-K1,mastercard,debit
C05498-K1,visa,debit
C00573-K1,mastercard,credit
C02742-K1,mastercard,debit
C02742-K2,mastercard,debit
C12577-K1,american express,credit
C08070-K1,american express,credit
C12654-K1,visa,credit
C08376-K1,american express,credit
C00202-K1,visa,debit
C00152-K1,visa,credit
C10665-K1,american express,debit
C10451-K1,visa,credit
C08359-K1,visa,debit
C00107-K1,visa,debit
C00107-K2,,
C09771-K1,mastercard,credit
C04905-K1,mastercard,debit
C04164-K1,mastercard,debit
C03856-K1,mastercard,credit
C09870-K1,visa,debit
C10098-K1,visa,debit
C06044-K1,visa,debit
C00210-K1,visa,credit
C04551-K1,visa,debit
C06694-K1,mastercard,debit
C04438-K1,visa,credit
C04438-K2,,
C13541-K1,mastercard,debit
C13541-K2,mastercard,debit
C10504-K1,mastercard,debit
C01562-K1,visa,credit
C08337-K1,visa,debit
C02407-K1,mastercard,debit
C06264-K1,visa,debit
C11003-K1,mastercard,debit
C11003-K2,,
C09995-K1,visa,debit
C06780-K1,mastercard,debit
C06780-K2,mastercard,debit
C03725-K1,visa,debit
C12989-K1,visa,debit
C03240-K1,mastercard,debit
C03321-K1,american express,credit
C08363-K1,visa,credit
C02917-K1,visa,debit
C01812-K1,visa,credit
C09218-K1,visa,credit
C07928-K1,visa,credit
C03238-K1,mastercard,debit
C12525-K1,visa,debit
C09696-K1,visa,debit
C08616-K1,mastercard,debit
C11523-K1,visa,debit
C07022-K1,visa,debit
C06113-K1,mastercard,debit
C06671-K1,american express,credit
C12063-K1,visa,credit
C13092-K1,visa,debit
C06934-K1,mastercard,credit
C11127-K1,mastercard,debit
C08314-K1,visa,debit
C08314-K2,,
C03688-K1,mastercard,debit
C03103-K1,mastercard,credit
C08190-K1,visa,credit
C08190-K2,,
C12604-K1,visa,debit
C10925-K1,visa,debit
C05002-K1,visa,debit
C03193-K1,mastercard,debit
C03740-K1,mastercard,debit
C04507-K1,visa,debit
C11353-K1,mastercard,debit
C04828-K1,mastercard,debit
C04828-K2,mastercard,debit
C04828-K3,,
C05896-K1,visa,debit
C05244-K1,american express,credit
C09358-K1,visa,credit
C09358-K2,visa,credit
C12786-K1,visa,debit
C00147-K1,mastercard,debit
C08578-K1,visa,debit
C07834-K1,visa,debit
C10062-K1,mastercard,debit
C12629-K1,visa,debit
C09719-K1,american express,credit
C03693-K1,visa,debit
C05659-K1,visa,debit
C05214-K1,mastercard,debit
C01209-K1,mastercard,debit
C01209-K2,mastercard,debit
C13266-K1,visa,debit
C09285-K1,visa,debit
C09285-K2,visa,debit
C05127-K1,visa,credit
C07039-K1,visa,credit
C00501-K1,mastercard,debit
C04529-K1,mastercard,credit
C02345-K1,mastercard,debit
C10414-K1,visa,debit
C11653-K1,mastercard,debit
C10075-K1,mastercard,debit
C05970-K1,visa,credit
C08205-K1,mastercard,debit
C04573-K1,mastercard,debit
C08111-K1,visa,debit
C07002-K1,mastercard,debit
C03121-K1,american express,credit
C11959-K1,mastercard,credit
C11959-K2,mastercard,credit
C11959-K3,,
C06105-K1,visa,debit
C01014-K1,visa,debit
C11866-K1,mastercard,debit
C11866-K2,mastercard,debit
C03358-K1,visa,debit
C00631-K1,mastercard,credit
C04145-K1,mastercard,credit
C06089-K1,visa,debit
C05347-K1,visa,credit
C05347-K2,visa,credit
C01343-K1,american express,credit
C05851-K1,mastercard,debit
C10941-K1,visa,debit
C09027-K1,mastercard,debit
C10354-K1,visa,debit
C01016-K1,visa,debit
C03657-K1,visa,debit
C11313-K1,visa,debit
C10783-K1,mastercard,debit
C05444-K1,mastercard,debit
C06314-K1,visa,debit
C09465-K1,mastercard,debit
C09465-K2,mastercard,debit
C01504-K1,visa,debit
C08382-K1,visa,debit
C00564-K1,visa,debit
C03002-K1,visa,debit
C03002-K2,,
C00989-K1,mastercard,credit
C06002-K1,mastercard,debit
C12742-K1,mastercard,debit
C12742-K2,mastercard,debit
C01488-K1,mastercard,debit
C01488-K2,mastercard,debit
C01488-K3,,
C07838-K1,mastercard,debit
C07838-K2,mastercard,debit
C05050-K1,visa,credit
C10314-K1,american express,credit
C05661-K1,visa,debit
C08293-K1,mastercard,debit
C06178-K1,mastercard,debit
C10981-K1,mastercard,debit
C10206-K1,mastercard,debit
C08185-K1,mastercard,debit
C12973-K1,mastercard,debit
C12973-K2,,
C09854-K1,mastercard,debit
C04184-K1,mastercard,debit
C12726-K1,american express,credit
C06539-K1,visa,debit
C08106-K1,visa,debit
C12162-K1,mastercard,debit
C09148-K1,visa,debit
C09148-K2,,
C10434-K1,visa,credit
C08143-K1,mastercard,credit
C05249-K1,visa,credit
C07201-K1,mastercard,debit
C07816-K1,visa,debit
C08410-K1,visa,debit
C11927-K1,mastercard,debit
C07107-K1,visa,debit
C12620-K1,american express,credit
C08856-K1,visa,debit
C08999-K1,visa,debit
C08463-K1,visa,credit
C10893-K1,mastercard,credit
C07794-K1,visa,debit
C01255-K1,american express,credit
C11722-K1,visa,debit
C11722-K2,,
C09257-K1,visa,debit
C09080-K1,visa,debit
C02433-K1,mastercard,debit
C02433-K2,mastercard,debit
C02433-K3,,
C00534-K1,mastercard,debit
C00534-K2,,
C04386-K1,visa,debit
C08759-K1,mastercard,credit
C08496-K1,american express,credit
C06756-K1,visa,debit
C08691-K1,mastercard,debit
C08845-K1,visa,credit
C08845-K2,visa,debit
C08845-K3,,
C03645-K1,mastercard,credit
C08380-K1,visa,debit
C07965-K1,visa,debit
C02312-K1,mastercard,debit
C11596-K1,visa,credit
C11596-K2,,
C06036-K1,visa,debit
C09141-K1,visa,debit
C02714-K1,mastercard,debit
C08527-K1,mastercard,debit
C05814-K1,discover,debit
C05814-K2,discover,debit
C05814-K3,discover,credit
C12165-K1,visa,credit
C12165-K2,,
C09390-K1,visa,debit
C08491-K1,visa,credit
C02541-K1,mastercard,debit
C11926-K1,visa,debit
C10720-K1,mastercard,debit
C04514-K1,mastercard,debit
C08174-K1,visa,debit
C06008-K1,mastercard,debit
C04626-K1,visa,debit
C05449-K1,visa,credit
C07237-K1,visa,debit
C07828-K1,visa,debit
C08509-K1,mastercard,debit
C00864-K1,visa,debit
C13447-K1,visa,credit
C11791-K1,mastercard,debit
C01469-K1,visa,debit
C10751-K1,mastercard,debit
C10751-K2,mastercard,debit
C04562-K1,visa,debit
C03390-K1,american express,credit
C10429-K1,american express,credit
C04357-K1,mastercard,debit
C11102-K1,mastercard,debit
C11102-K2,mastercard,debit
C00536-K1,american express,credit
C07102-K1,american express,credit
C00651-K1,mastercard,debit
C11857-K1,visa,debit
C08199-K1,mastercard,credit
C12420-K1,mastercard,credit
C09193-K1,visa,debit
C05175-K1,mastercard,credit
C06020-K1,visa,debit
C05855-K1,visa,debit
C13195-K1,mastercard,debit
C09483-K1,visa,debit
C10470-K1,american express,credit
C06629-K1,mastercard,credit
C05077-K1,mastercard,debit
C05077-K2,,
C04773-K1,visa,debit
C04773-K2,,
C03802-K1,visa,debit
C11601-K1,visa,credit
C02584-K1,visa,debit
C08366-K1,mastercard,credit
C08366-K2,,
C11323-K1,visa,credit
C01439-K1,visa,debit
C07368-K1,visa,debit
C02870-K1,visa,debit
C03694-K1,mastercard,credit
C01410-K1,mastercard,debit
C08465-K1,american express,credit
C12888-K1,visa,credit
C09704-K1,visa,debit
C00815-K1,visa,debit
C01501-K1,american express,credit
C03067-K1,visa,debit
C03789-K1,visa,debit
C11159-K1,visa,credit
C11159-K2,visa,credit
C06326-K1,mastercard,debit
C01242-K1,visa,debit
C00583-K1,visa,credit
C04811-K1,mastercard,credit
C09917-K1,visa,debit
C10395-K1,mastercard,debit
C07347-K1,mastercard,debit
C09187-K1,american express,credit
C11787-K1,mastercard,credit
C05049-K1,visa,debit
C10040-K1,mastercard,credit
C08023-K1,visa,debit
C11628-K1,mastercard,credit
C08564-K1,visa,debit
C05404-K1,visa,debit
C10520-K1,american express,credit
C03436-K1,visa,debit
C06427-K1,mastercard,debit
C13448-K1,american express,credit
C08405-K1,visa,credit
C10224-K1,mastercard,credit
C00144-K1,visa,debit
C10988-K1,mastercard,credit
C11015-K1,american express,credit
C11668-K1,mastercard,debit
C11668-K2,,
C11856-K1,mastercard,debit
C08484-K1,mastercard,credit
C01923-K1,visa,credit
C04930-K1,visa,debit
C13399-K1,visa,debit
C13399-K2,,
C09903-K1,visa,debit
C01620-K1,mastercard,credit
C09403-K1,visa,credit
C09433-K1,mastercard,credit
C06763-K1,visa,credit
C11160-K1,visa,credit
C03301-K1,visa,credit
C03301-K2,visa,credit
C02952-K1,visa,debit
C06398-K1,visa,credit
C01726-K1,visa,credit
C11894-K1,visa,credit
C11894-K2,visa,debit
C03965-K1,visa,credit
C05879-K1,mastercard,debit
C12177-K1,visa,debit
C05090-K1,visa,credit
C06168-K1,visa,debit
C10675-K1,mastercard,debit
C05654-K1,visa,debit
C07403-K1,visa,debit
C07784-K1,mastercard,credit
C07784-K2,mastercard,credit
C07026-K1,visa,credit
C10935-K1,mastercard,debit
C09962-K1,mastercard,credit
C04656-K1,visa,debit
C04656-K2,,
C10284-K1,mastercard,debit
C11171-K1,visa,debit
C02924-K1,mastercard,debit
C05213-K1,american express,credit
C04355-K1,mastercard,debit
C03101-K1,mastercard,debit
C09716-K1,mastercard,debit
C09716-K2,,
C07723-K1,american express,credit
C06401-K1,mastercard,debit
C07030-K1,visa,debit
C04461-K1,visa,credit
C02265-K1,visa,debit
C06397-K1,american express,credit
C12469-K1,visa,debit
C12029-K1,visa,debit
C00338-K1,mastercard,debit
C08991-K1,mastercard,debit
C09840-K1,american express,credit
C08517-K1,visa,debit
C07296-K1,mastercard,credit
C03513-K1,visa,credit
C02598-K1,visa,debit
C10138-K1,visa,credit
C00741-K1,visa,debit
C09527-K1,american express,credit
C00877-K1,american express,credit
C10621-K1,mastercard,debit
C10999-K1,american express,credit
C10372-K1,american express,credit
C13155-K1,american express,credit
C00438-K1,visa,debit
C04272-K1,mastercard,debit
C10759-K1,mastercard,debit
C13429-K1,visa,credit
C07938-K1,mastercard,debit
C12955-K1,mastercard,debit
C06212-K1,visa,debit
C03070-K1,american express,debit
C10633-K1,american express,credit
C02291-K1,visa,credit
C11360-K1,mastercard,debit
C02363-K1,mastercard,debit
C00840-K1,visa,credit
C08306-K1,visa,credit
C10389-K1,mastercard,debit
C08016-K1,visa,credit
C04533-K1,mastercard,credit
C06028-K1,mastercard,debit
C02916-K1,mastercard,credit
C08163-K1,visa,credit
C00245-K1,visa,debit
C02177-K1,visa,debit
C00034-K1,visa,debit
C04719-K1,american express,credit
C03303-K1,american express,credit
C05589-K1,visa,credit
C04142-K1,visa,debit
C04142-K2,,
C09663-K1,mastercard,credit
C01006-K1,visa,debit
C04260-K1,mastercard,debit
C09628-K1,mastercard,debit
C04516-K1,mastercard,credit
C06986-K1,visa,debit
C09440-K1,mastercard,credit
C11340-K1,visa,credit
C10610-K1,visa,credit
C09401-K1,visa,debit
C10880-K1,visa,debit
C10004-K1,mastercard,debit
C00342-K1,mastercard,debit
C03025-K1,american express,credit
C06746-K1,mastercard,debit
C04528-K1,visa,debit
C03986-K1,visa,debit
C07848-K1,visa,debit
C07848-K2,,
C07051-K1,mastercard,credit
C12777-K1,american express,credit
C07840-K1,visa,debit
C08011-K1,american express,credit
C01931-K1,visa,credit
C09990-K1,visa,credit
C03191-K1,mastercard,credit
C07993-K1,american express,credit
C06288-K1,visa,debit
C00580-K1,american express,credit
C07277-K1,visa,debit
C08871-K1,visa,debit
C03357-K1,mastercard,debit
C01803-K1,mastercard,debit
C10814-K1,visa,debit
C10814-K2,,
C08850-K1,american express,credit
C01269-K1,visa,debit
C12114-K1,visa,debit
C03517-K1,visa,debit
C11486-K1,mastercard,credit
C03282-K1,visa,credit
C01302-K1,visa,debit
C11716-K1,mastercard,debit
C06487-K1,visa,debit
C09701-K1,visa,debit
C09701-K2,,
C12921-K1,visa,debit
C01409-K1,visa,debit
C12583-K1,mastercard,debit
C09312-K1,visa,debit
C09312-K2,,
C12391-K1,mastercard,debit
C11577-K1,visa,debit
C12364-K1,american express,credit
C09131-K1,mastercard,debit
C11530-K1,visa,credit
C02311-K1,visa,debit
C03712-K1,american express,credit
C05613-K1,visa,debit
C10894-K1,mastercard,credit
C01546-K1,american express,credit
C05770-K1,visa,debit
C06875-K1,visa,debit
C06875-K2,,
C12057-K1,mastercard,debit
C09397-K1,visa,debit
C03166-K1,mastercard,credit
C07008-K1,visa,debit
C13139-K1,american express,credit
C05810-K1,american express,credit
C12964-K1,visa,debit
C10753-K1,visa,debit
C02905-K1,visa,debit
C09429-K1,visa,debit
C13110-K1,visa,debit
C00813-K1,visa,credit
C07192-K1,mastercard,credit
C06076-K1,visa,debit
C01543-K1,mastercard,debit
C09744-K1,visa,debit
C09160-K1,mastercard,debit
C12110-K1,visa,credit
C08957-K1,mastercard,debit
C05849-K1,visa,debit
C07152-K1,visa,debit
C05831-K1,visa,debit
C07944-K1,visa,credit
C08978-K1,mastercard,credit
C08752-K1,mastercard,debit
C13319-K1,mastercard,debit
C01925-K1,visa,credit
C08140-K1,mastercard,credit
C08140-K2,mastercard,credit
C12230-K1,mastercard,debit
C12020-K1,mastercard,debit
C10624-K1,visa,credit
C11962-K1,mastercard,debit
C03043-K1,american express,credit
C00368-K1,mastercard,debit
C04655-K1,visa,debit
C13451-K1,mastercard,credit
C04269-K1,mastercard,debit
C00231-K1,visa,credit
C00231-K2,visa,debit
C05088-K1,mastercard,credit
C06265-K1,visa,credit
C01594-K1,visa,debit
C10205-K1,visa,debit
C01391-K1,visa,debit
C09851-K1,mastercard,credit
C01201-K1,mastercard,debit
C04726-K1,visa,debit
C06114-K1,visa,debit
C12842-K1,american express,credit
C10667-K1,visa,credit
C10667-K2,visa,credit
C08381-K1,visa,debit
C03205-K1,mastercard,debit
C01041-K1,mastercard,debit
C10740-K1,visa,debit
C09171-K1,visa,credit
C08632-K1,american express,credit
C07180-K1,visa,credit
C07180-K2,visa,credit
C06021-K1,mastercard,debit
C06021-K2,,
C12733-K1,visa,credit
C03382-K1,visa,debit
C05698-K1,visa,debit
C02266-K1,visa,debit
C02266-K2,,
C05655-K1,visa,debit
C03762-K1,mastercard,debit
C01245-K1,visa,credit
C00313-K1,visa,credit
C13210-K1,mastercard,debit
C13210-K2,mastercard,debit
C10683-K1,mastercard,debit
C02019-K1,visa,debit
C12104-K1,mastercard,debit
C08039-K1,visa,debit
C07768-K1,visa,debit
C09267-K1,mastercard,debit
C09267-K2,mastercard,debit
C02305-K1,visa,debit
C00060-K1,american express,credit
C08107-K1,mastercard,debit
C11734-K1,visa,debit
C04290-K1,visa,credit
C02152-K1,visa,credit
C12449-K1,mastercard,debit
C11183-K1,mastercard,debit
C01757-K1,visa,debit
C04697-K1,american express,credit
C11918-K1,visa,debit
C11918-K2,,
C00416-K1,visa,debit
C06295-K1,american express,credit
C02069-K1,visa,debit
C08133-K1,american express,credit
C12689-K1,visa,credit
C12689-K2,visa,debit
C04317-K1,visa,credit
C07106-K1,mastercard,credit
C07106-K2,mastercard,credit
C01816-K1,visa,debit
C05860-K1,visa,debit
C05860-K2,visa,credit
C03168-K1,visa,debit
C09375-K1,american express,credit
C00611-K1,mastercard,debit
C04568-K1,visa,debit
C11953-K1,american express,credit
C09952-K1,visa,debit
C07257-K1,visa,credit
C07422-K1,visa,debit
C05224-K1,visa,debit
C05670-K1,visa,debit
C07011-K1,visa,debit
C11292-K1,visa,credit
C12302-K1,mastercard,debit
C04162-K1,mastercard,credit
C10596-K1,visa,debit
C09079-K1,mastercard,credit
C06238-K1,visa,debit
C06424-K1,mastercard,debit
C06424-K2,mastercard,credit
C10919-K1,visa,debit
C11574-K1,visa,debit
C09669-K1,visa,debit
C11537-K1,visa,debit
C01400-K1,mastercard,credit
C08748-K1,american express,credit
C04614-K1,visa,debit
C03234-K1,visa,debit
C05761-K1,mastercard,debit
C05761-K2,mastercard,debit
C09863-K1,american express,credit
C13284-K1,visa,debit
C12884-K1,visa,debit
C07164-K1,visa,credit
C10411-K1,mastercard,debit
C08504-K1,mastercard,debit
C13540-K1,mastercard,debit
C13521-K1,mastercard,debit
C12261-K1,mastercard,debit
C04424-K1,american express,credit
C01099-K1,visa,debit
C05713-K1,mastercard,debit
C02783-K1,american express,credit
C10369-K1,visa,debit
C04440-K1,mastercard,debit
C04440-K2,mastercard,debit
C09356-K1,mastercard,debit
C00429-K1,visa,debit
C00658-K1,visa,credit
C12310-K1,visa,credit
C04397-K1,visa,credit
C07735-K1,visa,credit
C02040-K1,visa,debit
C11008-K1,mastercard,debit
C11008-K2,mastercard,debit
C05124-K1,visa,debit
C07474-K1,visa,debit
C04029-K1,visa,debit
C06097-K1,mastercard,debit
C01166-K1,american express,credit
C04963-K1,mastercard,credit
C09464-K1,mastercard,debit
C01758-K1,mastercard,credit
C01225-K1,mastercard,debit
C01225-K2,mastercard,debit
C10091-K1,mastercard,debit
C03523-K1,visa,credit
C06302-K1,american express,credit
C01105-K1,visa,debit
C05106-K1,american express,credit
C07916-K1,mastercard,debit
C13039-K1,mastercard,debit
C09631-K1,visa,debit
C03418-K1,visa,debit
C12699-K1,visa,debit
C02338-K1,visa,debit
C03179-K1,visa,debit
C13192-K1,visa,credit
C08737-K1,mastercard,credit
C10794-K1,visa,debit
C08336-K1,visa,debit
C04889-K1,mastercard,debit
C00458-K1,mastercard,credit
C00842-K1,visa,debit
C00842-K2,,
C06329-K1,mastercard,credit
C12949-K1,visa,debit
C02003-K1,visa,debit
C02626-K1,visa,credit
C12494-K1,mastercard,credit
C03533-K1,mastercard,debit
C08739-K1,mastercard,debit
C08739-K2,mastercard,debit
C00180-K1,american express,credit
C03317-K1,visa,debit
C05497-K1,american express,credit
C04242-K1,mastercard,debit
C10220-K1,visa,credit
C09786-K1,visa,debit
C13293-K1,visa,credit
C12388-K1,visa,debit
C10375-K1,mastercard,debit
C06930-K1,visa,credit
C10821-K1,mastercard,debit
C04576-K1,mastercard,credit
C13026-K1,visa,debit
C01545-K1,mastercard,debit
C04948-K1,visa,credit
C07821-K1,visa,debit
C03181-K1,visa,debit
C04847-K1,visa,debit
C04847-K2,,
C07078-K1,visa,debit
C01887-K1,visa,credit
C12509-K1,mastercard,credit
C12509-K2,,
C06296-K1,mastercard,debit
C06984-K1,visa,debit
C13081-K1,mastercard,credit
C13364-K1,visa,debit
C13364-K2,visa,debit
C12115-K1,mastercard,credit
C07204-K1,mastercard,credit
C03946-K1,mastercard,debit
C02959-K1,american express,credit
C05268-K1,mastercard,debit
C07429-K1,mastercard,debit or credit
C07429-K2,mastercard,debit
C03306-K1,visa,debit
C04394-K1,visa,debit
C01402-K1,mastercard,debit
C10181-K1,american express,credit
C03571-K1,american express,credit
C08699-K1,american express,credit
C11715-K1,american express,credit
C07751-K1,american express,credit
C04423-K1,visa,debit
C05824-K1,visa,credit
C04055-K1,mastercard,debit
C07431-K1,visa,debit
C01495-K1,visa,debit
C03605-K1,visa,debit
